255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
159,255,255,255,255,182,182,182,255,255,255,255,255,255,182,182,255,255,255,255,182,182,182,182,255,255,255,182,182,182,182,182,255,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
165,199,199,199,199,146,146,146,199,199,199,199,146,146,146,146,199,199,199,199,146,146,146,146,199,199,199,146,146,146,146,146,199,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
98,151,136,199,255,146,146,146,164,164,191,255,146,146,146,146,191,177,218,255,146,146,146,146,191,232,255,146,146,146,146,146,245,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
25,33,30,44,70,146,146,146,36,36,41,56,205,205,146,146,41,38,47,70,146,146,146,146,41,50,205,146,146,146,146,146,53,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
25,24,21,33,62,146,146,146,25,25,30,40,205,205,146,146,30,29,33,89,146,146,146,146,30,35,44,146,146,146,146,146,38,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
20,20,18,28,51,117,117,117,21,21,25,33,164,164,117,117,25,24,28,71,117,117,117,117,25,29,36,117,117,117,117,117,31,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
18,20,18,28,51,117,117,117,21,21,25,33,164,164,117,117,25,24,28,71,117,117,117,117,25,29,36,117,117,117,117,117,31,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
17,19,17,27,49,114,114,114,20,20,24,32,160,160,114,114,24,23,27,69,114,114,114,114,24,28,35,114,114,114,114,114,30,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
17,17,15,23,44,114,114,114,18,18,21,28,160,160,114,114,21,20,23,69,114,114,114,114,21,25,31,114,114,114,114,114,27,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
11,4,7,11,43,105,131,155,9,9,10,13,70,138,146,138,10,9,12,16,105,138,163,138,10,12,16,70,131,214,196,155,12,63,94,138,163,255,246,188,63,87,138,155,196,246,255,222,120,155,188,214,246,255,255,238,170,222,231,231,255,238,246,238
7,4,7,7,48,105,131,155,7,7,7,11,70,138,146,138,7,7,7,11,105,138,163,138,7,7,11,70,131,214,196,155,7,63,94,138,163,255,246,188,63,87,138,155,196,246,255,222,120,155,188,214,246,255,255,238,170,222,231,231,255,238,246,238
2,4,5,5,5,91,113,134,5,5,5,5,61,119,126,119,5,5,5,19,91,119,141,119,5,5,5,61,113,185,169,134,5,55,81,119,141,220,212,162,55,75,119,134,169,212,220,191,104,134,162,185,212,220,220,205,147,191,199,199,220,205,212,205
