255,255,255,255,180,223,255,189,255,255,255,255,255,189,189,189,255,255,255,180,189,189,189,189,255,129,163,189,189,189,189,189,255,163,189,189,189,189,189,189,177,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
255,171,161,240,240,223,189,189,189,189,218,240,189,189,189,189,218,208,255,189,189,189,189,189,218,240,163,189,189,189,189,189,240,163,189,189,189,189,189,189,177,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189
194,130,123,183,183,170,144,98,144,144,166,182,98,138,98,98,166,159,194,228,98,98,98,98,166,164,124,98,98,98,98,98,183,85,98,98,98,98,98,98,92,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
80,110,96,153,228,98,98,98,116,116,137,182,98,138,98,98,123,126,153,228,98,98,98,98,137,164,85,98,98,98,98,98,173,85,98,98,98,98,98,98,92,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
50,75,88,141,212,143,143,143,107,107,125,167,143,201,143,143,125,115,141,166,143,143,143,143,125,151,136,143,143,143,143,143,159,123,143,143,143,143,143,143,134,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
53,73,64,102,152,141,141,141,74,78,91,122,141,141,141,141,81,84,102,152,141,141,141,141,91,110,140,141,141,141,141,141,116,122,141,141,141,141,141,141,133,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
48,65,59,92,138,133,133,133,69,69,83,110,133,187,133,133,75,75,92,138,133,133,133,133,83,99,128,133,133,133,133,133,105,115,133,133,133,133,133,133,125,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
35,48,43,68,102,98,98,98,51,51,61,81,98,138,98,98,55,55,68,102,98,98,98,98,61,73,94,98,98,98,98,98,77,85,98,98,98,98,98,98,92,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
35,43,39,63,92,98,98,98,47,47,55,74,98,138,98,98,55,51,63,92,98,98,98,98,55,66,85,98,98,98,98,98,70,85,98,98,98,98,98,98,92,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
31,38,35,56,81,98,98,98,42,42,49,66,98,138,98,98,49,45,56,92,98,98,98,98,49,59,75,98,98,98,98,98,62,85,98,98,98,98,98,98,92,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
22,31,27,43,65,255,255,148,33,33,39,52,195,255,148,148,35,35,43,172,255,255,148,148,39,47,60,187,148,148,148,148,49,141,237,148,148,148,148,148,154,148,148,148,148,148,148,148,255,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
22,27,25,39,57,255,255,148,27,30,34,45,195,255,148,148,34,33,39,163,255,255,148,148,34,41,52,187,148,148,148,148,43,141,237,148,148,148,148,148,154,148,148,148,148,148,148,148,255,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148
27,18,17,27,85,142,180,187,20,20,23,32,92,187,187,187,23,22,27,40,142,187,187,187,23,28,37,104,180,187,187,187,30,78,132,187,187,187,187,187,85,125,187,187,187,187,187,187,173,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187
25,17,15,25,115,192,244,253,18,18,21,28,125,253,253,253,21,21,25,36,192,253,253,253,21,25,32,141,244,253,253,253,28,106,179,253,253,253,253,253,115,169,253,253,253,253,253,253,234,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253
